Title,Company,Experience,Location,Tags,Ratings,Reviews,Salary,Job_Type,Posted,Min_Exp_Needed,Max_Exp_Needed,Min_Salary,Max_Salary,Avg_Sal
"Fresher / Intern Jobs in Machine Learning Project, 2020 Passout Can al",Creative Hands HR Consultancy,0-0 Yrs,"Mumbai, Indore, Hyderabad, Pune, Chennai, Bengaluru","communication,Microsoft Excel,Machine Learning,debugging,Artificial Intelligence,python,IT Skills,excel",,,"3,00,000 - 4,00,000",,2 ,0,0,300000.0,400000.0,350000.0
"Fresher / Intern Jobs in Machine Learning Project, 2020 Passout Can al",Creative Hands HR Consultancy,0-0 Yrs,"Mumbai, Hyderabad, Pune, Chennai, Jaipur, Bengaluru","Machine Learning,communication,Microsoft Excel,python,debugging,Artificial Intelligence,IT Skills,excel",,,"3,00,000 - 4,00,000",,2 ,0,0,300000.0,400000.0,350000.0
Machine Learning Engineer - Python | Delta Air Lines,TALENT500 TECH (INDIA) PRIVATE LIMITED,3-8 Yrs,Bengaluru,"Jenkins,Maven,Git,Docker,CICD,API,AWS,Devops",,,,PREMIUM,6 ,3,8,,,
Software Engineer - Machine Learning | Walmart,TALENT500 TECH (INDIA) PRIVATE LIMITED,3-5 Yrs,Bengaluru,"Java,Machine Learni,Python",,,,HOT JOB,6 ,3,5,,,
Immediate opening For Python Developer (Machine learning),Tech Mahindra Ltd.,3-6 Yrs,Bengaluru,"Spark,Machine Learning,Python,HDFS,Hadoop,Shell Script,Big,Hive",3.6,11433.0,"10,00,000 - 15,00,000",PREMIUM,13 ,3,6,1000000.0,1500000.0,1250000.0
Machine Learning Engineer,CLEAREYE AI PRIVATE LIMITED,3-7 Yrs,"Bengaluru, Thiruvananthapuram","Pyspark,Cost Functions,Hadoop,Machine Learning,Numpy,Deep Learning,REST concepts,NLP",,,,HOT JOB,11 ,3,7,,,
Machine Learning Application Developer,Accenture Solutions Pvt Ltd,4-6 Yrs,Bengaluru,"Azure,Machine Learning,Pytorch,AWS,Tensorflow,Python,IT Skills,Business process",4.0,18304.0,,PREFERRED,11 ,4,6,,,
Data Science Product Manager- Artificial Intelligence/Machine Learning,Catalyst,4-9 Yrs,Bengaluru,"Tensorflow,YOLO,Resnet,Kubernetes,Machine Learning,agile,NoSQL,R",,,,PREMIUM,7 ,4,9,,,
Data Scientist - NLP/ Machine Learning,RV Matrix Software Technologies,3-8 Yrs,Anywhere,"IT Skills,Java,Python,Machine Learning,Data Science,Predictive Modeling,Tensorflow,NLP",2.9,7.0,,HOT JOB,4 ,3,8,,,
Python + Machine Learning / Data Scientist - Pune,eClerx Services Ltd.,5-10 Yrs,Pune,"Data Science,Machine Learning,Python,Scipy,NLP,Opencv,Artificial Intelligence,Natural Language Processing",3.6,2089.0,"8,00,000 - 18,00,000",HOT JOB,12 ,5,10,800000.0,1800000.0,1300000.0
Data Scientist (Machine Learning & Python),GENPACT India Private Limited,4-7 Yrs,Gurugram,"Tensorflow,R,PyTorch,scikit-learn,Postgresql,Keras,MongoDB,Machine Learning",4.0,10625.0,"8,00,000 - 17,00,000",PREFERRED,6 ,4,7,800000.0,1700000.0,1250000.0
"Data Scientist, Machine Learning",Fractal Analytics,3-6 Yrs,"Gurugram, Bengaluru, Mumbai ","IT Skills,Python,Data Science,Machine Learning,Artificial Intelligence,R,NoSQL,Data Structures",3.9,97.0,,PREMIUM,24 ,3,6,,,
Artificial Intelligence/ Machine Learning (Data Scientist),Cigniti Technologies Limited,7-12 Yrs,Hyderabad,"Kubeflow,Artificial Intelligence,ML,MLFlow,Keras,TensorFlow,Scikit,Machine Learning",3.7,189.0,,HOT JOB,5 ,7,12,,,
Machine Learning Application Designer,Accenture Solutions Pvt Ltd,4-6 Yrs,Bengaluru,"Machine Learning,comm,Scala,verbal,No SQL,written,Java,Oracle",4.0,18304.0,,PREFERRED,1 ,4,6,,,
